编号,功能,,模块,开发阶段,状态,描述,备注
,准备菜单,,,,,,
,坐标设置：设置、半程坐标（表达式）,,准备,1阶段,产品验收中,,
,移动/端面,,准备,1阶段,产品验收中,,
,柱中心,,准备,1阶段,产品需求中,,
,角定位 ,,准备,2阶段,产品需求中,,
,孔中心,,准备,1阶段,产品需求中,,
,任意3点手动,,准备,2阶段,产品需求中,,
,任意3点自动--内径、外径,,准备,2阶段,产品需求中,,
,电极交换,,准备,3阶段,产品需求中,,
,电极补正                                                      ,,准备,3阶段,产品需求中,,
,,,,,,,
,加工菜单,,,,,,
,加工-直线加工（单孔）含螺纹加工,,加工,1阶段,产品验收中,含条件检索,
,加工-圆弧加工（单孔）,,加工,5阶段,,含条件检索,
,加工-直线格子,,加工,3阶段,产品需求中,含条件检索,
,加工-圆弧格子,,加工,3阶段,产品需求中,含条件检索,
,加工-任意点,,加工,2阶段,产品需求中,含条件检索,
,加工-MDI,,加工,1阶段,产品验收中,,
,NC加工中加工条件修改,,加工,1阶段,产品需求中,,
,NC自动加工,,加工,4阶段,,,
,干加工、单步、电源关闭,,加工,3阶段,产品需求中,,
,智能-条件检索,,加工,4阶段,软件开发中,,
,NC文件编辑,,,,,,
,NC G代码编辑,,编辑,4阶段,,,
,条件检索 智能NC生成,,编辑,5阶段,,,
,直线格子（多孔）,,编辑,5阶段,,,
,圆周格子（多孔）,,编辑,5阶段,,,
,任意位置（多孔）,,编辑,5阶段,,,
,,,,,,,
,上部功能区,,,,,,
,系统状态显示,,上部功能,1阶段,产品验收中,,
,坐标记忆,,上部功能,1阶段,产品验收中,,
,文件管理,,上部功能,1阶段,产品需求中,,
,NC/单孔文件管理,,上部功能,1阶段,产品需求中,,
,NC/单孔文件操作,,上部功能,1阶段,产品需求中,,
,软面板,,上部功能,1阶段,产品验收中,,
,电压、感知,,上部功能,1阶段,产品验收中,,
,液位、高频,,上部功能,1阶段,产品验收中,,
,日期、时间,,上部功能,1阶段,产品验收中,,
,坐标显示、加工状态和历史,,上部功能,1阶段,产品验收中,,
,,,,,,,
,其他,,,,,,
,启动logo,,其他,1阶段,产品需求中,,
,,,,,,,
,信息,,,,,,
,错误,,,,,,
,错误-错误信息,,信息,2阶段,软件开发中,当前发生的错误信息。错误内容：编号+内容；解决办法,
,错误-错误履历,,信息,3阶段,软件开发中,发生时刻，错误号，详细，文件/模式，行号,
,宏变量,,,,,,
,宏变量-宏查看（宏登录在其他画面）,,信息,2阶段,产品需求中,,
,诊断,,,,,,
,诊断-系统、路径、伺服、通道,,信息,3阶段,产品需求中,,
,诊断-诊断导出,,信息,5阶段,,,
,磁盘空间,,信息,4阶段,,,
,工具---vdesk、RDI,,信息,1阶段,产品验收中,无SoftPLC,
,安全,,,,,,
,用户登录（普通用户、机床厂、DY）,,系统,4阶段,,,
,退出登录,,系统,4阶段,,,
,密码修改,,系统,4阶段,,,
,参数（普通用户）,,系统,4阶段,,,
,参数-检索,,系统,4阶段,,,
,参数-常用,,系统,4阶段,,,
,参数（机床厂用户&DY用户）,,,,,,
,参数-检索,,系统,5阶段,产品需求中,,
,参数-常用,,系统,3阶段,产品需求中,,
,参数-机械、路径、各轴、系统、伺服、放电、操作,,系统,1阶段,产品验收中,,
,配置,,系统,,,,
,网络,,系统,3阶段,软件开发中,,
,服务配置---设置FTP服务器,,系统,3阶段,软件开发中,,
,软键盘,,系统,1阶段,产品验收完,,
,机床维护---ATC动作名称、宏指令,,系统,5阶段,,,
,螺距补偿,,系统,1阶段,软件开发中,,
,应力补偿？,,系统,5阶段,,,
,反向补偿,,系统,1阶段,软件开发中,,
,热补偿,,系统,5阶段,,,
,维护,,,,,,
,维护-数据备份,,系统,1阶段,软件开发中,,
,维护-数据恢复,,系统,1阶段,软件开发中,,
,维护-版本升级,,系统,1阶段,软件开发中,,
,维护-计时器,,系统,5阶段,,电源投入、循环启动、加工时间,
,维护-卸载优盘,,系统,5阶段,,,
,维护-消耗品,,系统,5阶段,,,
,维护-系统清零,,系统,5阶段,,需要DY权限，将计时器清零,
,维护-系统调整,,系统,1阶段,软件开发中,时间调整，分辨率调整-不需要,
,维护-串口配置,,系统,5阶段,,,
,维护-功能配置,,系统,5阶段,,串口,
,维护-IO、各轴IO、详细IO,,系统,1阶段,产品需求中,,
,用户条件库修改,,系统,1阶段,产品验收中,,
,日志,,系统,,,,
,日志-加工履历,,系统,4阶段,,,
,日志-错误履历,,系统,4阶段,,,
,日志-操作日志,,系统,5阶段,,,
,日志-系统日志,,系统,5阶段,,,
,注册,,系统,1阶段,软件开发中,,
,版权,,系统,,,,
,版本,,系统,1阶段,软件测试中,版本号,
,授权,,系统,1阶段,软件开发中,"系统版权信息,注册时间",
,帮助,,系统,5阶段,,,
,,,,,,,
,加工中暂停,,,,,,
,加工暂停Jog干预,,,,,,
,NC指令,,,,,,
,轨迹加工,,,,,,
